,Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount,Hotel,Date
0,Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,hotel-1,2017-01-01
1,Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,hotel-1,2017-01-01
2,Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,hotel-1,2017-01-01
3,Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,hotel-1,2017-01-01
4,Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,hotel-1,2017-01-01
5,Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,hotel-1,2017-01-02
6,Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,hotel-1,2017-01-02
7,Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,hotel-1,2017-01-02
8,Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,hotel-1,2017-01-02
9,Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,hotel-1,2017-01-02
10,Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,hotel-1,2017-01-03
11,Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,hotel-1,2017-01-03
12,Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,hotel-1,2017-01-03
13,Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,hotel-1,2017-01-03
14,Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,hotel-1,2017-01-03
15,Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,hotel-1,2017-01-03
